cluster_id,industry_final,count
29,"leisure, travel & tourism",28
29,management consulting,125
29,maritime,19
29,marketing and advertising,145
29,mechanical or industrial engineering,110
29,medical devices,56
29,mental health care,16
29,mining & metals,22
29,non-profit organization management,33
29,oil & energy,30
29,packaging and containers,29
29,pharmaceuticals,41
29,professional training & coaching,29
29,real estate,113
29,renewables & environment,106
29,research,99
29,retail,86
29,semiconductors,312
29,staffing and recruiting,319
29,telecommunications,58
29,textiles,69
29,transportation/trucking/railroad,20
29,venture capital & private equity,29
29,warehousing,22
30,Aerospace & Defense,21
30,Capital Goods & Industrial Machinery,19
30,Construction & Civil Infrastructure,84
30,Cybersecurity,24
30,Energy & Power Generation,30
30,Environmental Services,158
30,Food Processing,20
30,Healthcare & Social Assistance,22
30,Information Technology Enabled Services (ITeS),19
30,Real Estate & Property Management,16
30,Robotics & Industrial Automation,35
30,Transport & Logistics Services,318
30,Unknown,310
30,accounting,110
30,airlines/aviation,34
30,architecture & planning,16
30,aviation & aerospace,46
30,biotechnology,24
30,building materials,86
30,business supplies and equipment,19
30,chemicals,100
30,civil engineering,40
30,computer software,75
30,construction,497
30,consumer electronics,23
30,consumer goods,11
30,consumer services,25
30,defense & space,44
30,design,13
30,electrical/electronic manufacturing,78
30,environmental services,47
30,facilities services,45
30,financial services,27
30,food & beverages,39
30,food production,148
30,government relations,24
30,higher education,30
30,hospital & health care,46
30,human resources,97
30,industrial automation,28
30,information services,23
30,information technology and services,170
30,insurance,18
30,internet,31
30,investment management,26
30,law practice,24
30,machinery,106
30,management consulting,153
30,maritime,27
30,marketing and advertising,101
30,mechanical or industrial engineering,26
30,mining & metals,18
30,museums and institutions,27
30,non-profit organization management,41
30,oil & energy,159
30,packaging and containers,56
30,pharmaceuticals,25
30,photography,30
30,plastics,62
30,printing,44
30,professional training & coaching,39
30,public relations and communications,16
30,real estate,122
30,renewables & environment,71
30,research,81
30,retail,136
30,semiconductors,73
30,shipbuilding,38
30,staffing and recruiting,312
30,utilities,138
30,venture capital & private equity,33
30,warehousing,62
30,wholesale,25
31,Accounting & Finance Services,22
31,Artificial Intelligence & Machine Learning,33
31,Education Services,29
31,Healthcare & Social Assistance,665
31,Legal Services,25
31,Medical Value Travel,219
31,Pharmaceuticals & Medical Devices,326
31,Professional Services & Consulting,50
31,Unknown,704
31,biotechnology,400
31,civic & social organization,33
31,commercial real estate,24
31,computer software,44
31,construction,37
31,design,57
31,education management,118
31,electrical/electronic manufacturing,31
31,government administration,146
31,"health, wellness and fitness",113
31,higher education,524
31,hospital & health care,1524
31,information technology and services,68
31,internet,131
31,"leisure, travel & tourism",37
31,logistics and supply chain,59
31,machinery,31
31,management consulting,93
31,marketing and advertising,60
31,mechanical or industrial engineering,6
31,medical devices,125
31,medical practice,27
31,military,29
31,pharmaceuticals,385
31,philanthropy,25
31,plastics,14
31,religious institutions,13
31,research,87
31,retail,123
31,staffing and recruiting,379
31,textiles,15
31,veterinary,488
31,writing and editing,20
32,Healthcare & Social Assistance,601
32,Legal Services,15
32,Medical Value Travel,68
32,Professional Services & Consulting,40
32,Unknown,2034
32,biotechnology,42
32,civic & social organization,16
32,computer software,50
32,construction,36
32,design,36
32,education management,36
32,government administration,564
32,"health, wellness and fitness",193
32,higher education,533
32,hospital & health care,2728
32,human resources,740
32,individual & family services,12
32,information technology and services,8
32,internet,27
32,legal services,254
32,management consulting,163
32,medical practice,9
32,mental health care,484
32,military,28
32,non-profit organization management,184
32,outsourcing/offshoring,45
32,primary/secondary education,22
32,public safety,99
32,real estate,17
32,research,31
32,security and investigations,33
32,staffing and recruiting,310
32,telecommunications,16
32,textiles,53
33,Accounting & Finance Services,1081
33,Healthcare & Social Assistance,20
33,Professional Services & Consulting,19
33,Unknown,56
33,accounting,150
33,automotive,38
33,banking,275
33,building materials,59
33,civic & social organization,48
33,computer software,10
33,consumer services,14
33,defense & space,38
33,design,17
33,environmental services,35
33,financial services,231
33,food production,33
33,government administration,118
33,higher education,19
33,hospital & health care,26
33,hospitality,13
